,date,content
0,2022-10-31 19:21:08+00:00,What the Attack on Paul Pelosi Says About America Today https://t.co/UYoXwCWNvm
1,2022-10-31 15:51:28+00:00,@satwik507 Kasam se bhai... Matlab ek bowler aaya jo young age me pace attack ka leader ban gya across all formats.. Ek world cup me khilane ke lie uske saath bakhchodi kardi.... Kya log h bc ye
2,2022-10-31 10:29:47+00:00,every time i scroll my tl i get a panic attack https://t.co/kGF8dbrcDU
3,2022-10-31 03:01:20+00:00,@AAPNareshBalyan Sadji aapke party ke neta to pahle se bhavishyavaani kar rhe the iss attack ki.. Bengal me pul khud gira tha Gujrat me kisi ne laaten maar ke wires tod ke saazish ke tahat girwaya hai.. aap apna dekhe kahi chor aapmen se koi ek to nahi! @AamAadmiParty
4,2022-10-31 02:54:59+00:00,"@suhasinih More than the govt, it's the Islamists that persecute H in Bangladesh. 

&amp; reality is that Govt fails to protect helpless Hindus. 

Bangladesh is home to many notorious &amp; radical Muslims, if such pious Muslims decide to attack Hindus, not even Allah can protect the victims."
5,2022-10-30 13:41:26+00:00,"Now the southafricans will bring the attack to our bowlers, i reckon. Ashwin's 3 overs are gonna be crucial.
#INDvSA"
6,2022-10-30 13:05:29+00:00,"@sakshijoshii @rohini_sgh Attack is justified of all forms &amp; types when women belong to BJP ,Ryt @sakshijoshii ??

Otherwise not my way &amp; I don't belong to it .

Well everyone knows ur hyppocrisy so don't bark ."
7,2022-10-30 01:41:01+00:00,Bahut hi bhayanak manjar itni badi sankhya m ek sath sbhi  ko heart attack aana ...ye sb kya ho rha h god! https://t.co/l2s3sqKgw2
8,2022-10-29 23:21:04+00:00,Barack Obama Lamented the Attack on Paul Pelosi. Then He Got Heckled. https://t.co/Qbmt2U6h43
9,2022-10-29 07:55:50+00:00,"@CricCrazyJohns He just need to play his natural game, just try to attack, 10 ball 25 runs is good then 10 ball 4 and out."
10,2022-10-28 06:09:25+00:00,@KhaledBeydoun He never attack any Islamic countries except Pakistan that too in retaliation while U.S.A whose shit you are washing daily by being an Editor has f*ck d up well off many times.
11,2022-10-28 03:22:57+00:00,@saritashukla123 #MediaCriminalsExposed Today Deepak Chourasia Chitra Tripathi etc has to attend the court. Court has warned no excuses of Heart attack? Foreign Trips will not be entertained Public says now this time you must be behind the bars under POCSO Act who Misuse Of Power by  Paid Media
12,2022-10-27 09:52:47+00:00,""" Attack on Shiraz shrine kills 15 : Iranian state #Iran #Shirazshrine #NDTVExclusive #Attack #AajtakDigital #abpnews https://t.co/xNNBcLD1WW"
13,2022-10-25 10:51:55+00:00,"@PiyushTiwariNew Sahi kaha...aur yhaa bhi tumhari jaatigat bhedbhaav ki bhavna najar aa gyi piyush tiwari...
Tm kahi heart attack se mar na jana...
Kahi aisa to ni hai ki tm govt. Ki attantion cahte ho... kyuki waise to tmko koi janta ni hai...
Chlo aise hi sahi...
Technique bekar hai tumhri..."
14,2022-10-24 16:01:21+00:00,"@tutunpaul @JhaSanjay You forgot Barkatulla Khan who was Chief Minister of Rajasthan.

How conveniently some people forget facts in their jest to attack BJP government."
15,2022-10-23 05:17:09+00:00,@drshamamohd What about jih@di terrorists? Do they have...whole earth in under jih@di terrorists attack..
16,2022-09-23 07:56:00+00:00,@iBalenduS I think acc is under attack.
17,2022-06-29 18:34:40+00:00,"Patriot ArifMohammad Khan, the governor ofKerala, has given the right advice to shut down madrassas inIndia.The Muslim terrorists who brutally killed Kanhaiyalal in Udaipur had gone to Pakistan. This is a Pakistan sponsored terrorist attack. Traitor Indian Muslims are very happy. https://t.co/hzILoIz5YV"
18,2022-06-28 12:13:14+00:00,"@NutanChoudhary7 @ajaykumarxyz99 @ANI Bhai police wala bhi haath chala rha h ladki pr aur itna konsa charo ne attack kiya jo bullet fire krne pade 4 se 5 police wale wahi pr aur bhi the.
Only iss police wale ko he kyu ye log bol rhe h,usne kuch bola hoga unko directly koi police walo pe haath ni dalta family ke saath"
19,2022-06-28 05:09:30+00:00,"@ajaykumarxyz99 @ANI Bhai phle ladki pe gents policemen touch ni kr sakta ye usko chata mar rha h agressive ni hoge to kya hoge husband wife 
Phir jara sa provoke krne pe ye goli mar dega ye kaha ka self defence h 
Na he unke pass hatiyar the jo ye self defence ne attack kr de"
20,2022-06-13 14:43:07+00:00,"Thanks Professor @Apoorvanand__ for saying this. When someone is under attack for his name, religion, eating habits and ways of life then he will defend himself by wearing his/her identity on his sleeves. 1/2 https://t.co/KiMvJs8J9x"
21,2022-06-12 16:04:19+00:00,"Which team has better pace attack south africa or india 
#Askstar 
@StarSportsIndia"
22,2022-06-03 06:30:28+00:00,"Cycling can help to protect you from serious diseases such as stroke, heart attack, some cancers, depression, diabetes, obesity and arthritis.
@prashant1402_ @myogiadityanath @PMOIndia https://t.co/wM4zlJVCiW"
23,2022-05-21 15:10:35+00:00,"#UnacademyAskTheExperts
@StarSportsIndia 
Which team has better bowling attack MI or DELHI"
24,2022-05-21 04:08:26+00:00,"We all are sitting here, we aren't even informed about why is this happening. We had been preparing for this for last three months. This attack on free speach in Universities is highly problematic. 

@RanaAyyub @AdityaMenon22 @sardesairajdeep @svaradarajan https://t.co/O671TWt8WN"
25,2022-05-16 03:29:09+00:00,"@BBCHindi Terrorist attack on innocent hindu pilgrims on way to Vaishno Devi has been totally whitewashed by Media and Secular Indian State..

Four innocents died &amp; 22 got injured in this religious hate crime

Not a word by ones in power!"
