,date,content
0,2022-11-01 15:50:44+00:00,@lilturtlehehe BRO WHAT. SHE WAS THE LAST PERSON I EXPECTED TO MAKE FUN OF AN ANXIETY ATTACK
1,2022-11-01 15:23:35+00:00,"&lt;tragedy&gt; 52 years ago today, #KarachiAirport​ was rocked by a terrorist attack on a visiting Polish delegation that killed the Polish Deputy Foreign Minister. Replugging my essay...

Fifty Years On: A Tragic Warning From Pakistan’s Past https://t.co/v4FTjBrnHI via @thewire_in"
2,2022-11-01 15:07:09+00:00,"@MordLavi @nationalpost Govt did the attack, read Soft Target"
3,2022-11-01 14:28:30+00:00,@Muhamma36691342 @MohsinS38070824 @Ahmadraza3Dart yehi tm logon ki gandi tarbiyat hy jb koi daleel nai hoti to personal attack krty ho meri tasveer hy na nai tmhem kesy yakeen khoot bol ky ilzaam lga ky apni aakhrat lhrb na karo or mai apny hr amal ki jwab dy hon khuda bannay ki koshish na karo zaleel ho gy
4,2022-11-01 13:34:23+00:00,@itszoloziall 😂
5,2022-11-01 13:11:36+00:00,"""u attract what u fear"" ohh a healthy relationship that lasts forever so scary"
6,2022-11-01 13:09:03+00:00,"@marvisirmed @ImranKhanPTI To liberate state frm clutches US n PK Generals. Gens ve been loyal to US since SEATO/Cento. Rslt, US bailed out Gens diplomatically n financially in martial laws. Attack US, weak Gens by challenging their credibility among masses n then fight to bring Army u/civilian control."
7,2022-11-01 12:39:12+00:00,@chaii_rusk Tch tch tch…..
8,2022-11-01 12:36:50+00:00,"@imziishan Stop dragging his kids, solid proof regarding IK  hai is k pass? NO and NEVER, when ppl don't have anything to attack you politically,then they do personal attack . And same this BIBI and her sister called party is doing"
9,2022-11-01 12:34:12+00:00,"@AreebUlHaq3 @lethal_woman_ acha acha azmaa ke bataoo ga phir 
btw u shouldn’t be on twitter, u should be on books🤣kasa attack?🤣"
10,2022-11-01 10:51:29+00:00,"Glenn Philips destroying Rashid's bowling attack 🤭
C'mon Philips you gotta win this one 💪
#ENGvNZ 
#T20WorldCup"
11,2022-11-01 10:50:41+00:00,"3/3 as the biggest factors in reducing peace, harmony &amp; acceptability. Fake narrative spreads like wildfire &amp; we see the same happening to #PakArmy by #India. They turned #Afghanistan against us &amp; now the same is being done with #Iran. So the next attack could be from Iran."
12,2022-11-01 10:11:33+00:00,@itszoloziall Silence is the key
