,date,content
0,2022-11-01 12:37:12+00:00,@kaabil12345 @Bhabani27958146 @ImTanujSingh Pakistan bowling attack can do the same to SA batting lineup as well.
1,2022-11-01 08:16:04+00:00,@nainpri @Manish_Pandit01 Dard to hoga hi apne iske dihari pai attack kar diya 🤣
2,2022-10-31 14:19:24+00:00,@Edd_y_27 There's a difference between attack by a Warlord and a sneak attack from yonkou
3,2022-10-30 16:09:28+00:00,"@Hardism Also he is extremely lazy, his body language is so so negative doesn't instill any confidence in team. He is good at flat wickets against one dimensional attack which isn't the case here in Aus. Don't know which weed team mgmt smoke to have such players in team."
4,2022-10-30 13:34:21+00:00,"🇮🇳 bowling attack is 🔥🔥🔥🔥
#SAvIND #INDvSA https://t.co/gL9FDBh3SV"
5,2022-10-30 13:22:45+00:00,"6 Pakistan Policemen Eliminated by TTP in a Huge Attack on a Police Checkpost in DI Khan.

Bleed with 1000 cuts Policy. Favour Returned with Interest

#pakistan #corruption #TTP #bleed"
6,2022-10-30 12:47:26+00:00,"@StarSportsIndia On a tough day for the Indian batters, Suryakumar Yadav decided attack is the best form of defence! 🔥

Rate this maximum from SKY on 10!

ICC Men’s #T20WorldCup #BelieveInBlue #INDvSA https://t.co/tgfnHVYzfo"
7,2022-10-30 06:48:37+00:00,@TheRealPCB They are tense and afraid of terror attack 😂
8,2022-10-30 06:41:38+00:00,@Satymtiwari45 Heart attack aa jata salooo yeh fake account mat bnaya kaaro common yaaar
9,2022-10-30 06:15:28+00:00,"Look  how happy this bitch is in other man arms 🤬😡
Feeling sad for the ""Doggo""😣

Now he gonna attack this man &amp; his family. Get your revenge bhai am with ya..!! https://t.co/UyNEpmbjWr"
10,2022-10-30 02:35:27+00:00,"@IMAIndiaOrg

First Time I saw Live Heart Attack in front of me.

I was there and without Doctor and Medication Body Recovered within 90 seconds

And Now Everything is Perfect in Her Body

I suggest one thing and its cost ₹5 

Heart Disease is Nothing..It's Just carelessness.."
11,2022-10-29 14:37:06+00:00,"URGENT: 15-year-old #ManojNegi stabbed to death in #Delhi for protesting against his sister's #molestation

Video of the attack👇🏼

(#NiteshJaat was also recently #lynched to #death in the same area)"
12,2022-10-29 11:56:54+00:00,"#GodMorningSaturda
Supreme God Kabir
Always chant the mantra given by the Satguru. As a result of which, Kaal will not be able to attack you. 
- Bandichhod Satguru Rampal Ji Maharaj.
#SaturdayThoughts https://t.co/oKCLfqv5rC"
13,2022-10-29 10:44:46+00:00,It's a direct attack on the interests of students who have dreams to become doctors on sheer merit. It’s a tall order for any meritorious student coming from an ordinary and poor background to arrange for Rs 40 lakh (for four and half-year course).”
14,2022-10-29 09:31:47+00:00,"एक समोसे की कीमत सुनकर आ जाएगा Heart Attack; अगर खा सके तो मिल सकता है 51 हजार का इनाम भी #Viralnews #राज्य #उत्तरप्रदेश #ताज़ा-खबरें #खेती/कारोबार/नौकरी #शिक्षा-स्
https://t.co/1rBeoiYO2g"
15,2022-10-28 18:04:57+00:00,@KashafRana2020 @MoeedNj New pm of pakistan because guy who doesn't attack india often and this new Shahbaz guy is aggressive like imran so we don't care .
16,2022-10-28 15:17:26+00:00,@perfectcutvids It gives me mini heart attack
17,2022-10-28 11:26:45+00:00,"Chinese Air Force does't have required reflexes 4 dog fight, it being genetic quality cann't improve. China may have larger weaponry, it is useless in d absence of man behind it. It can't attack on Tiawan or any other country. @narendramodi 
@myogiadityanath 
@DrMohanBhagwat"
18,2022-10-28 10:06:48+00:00,"Dirghaayu’s Bilona A2 ghee contains DHA that protects you from life-threatening conditions like heart attack and cancer.
⭐️Grab a jar of this liquid gold today and take a step forward towards healthy living with Dirghaayu 💛 
#dirghaayuorganicfarms #LiveLongNaturally #a2ghee https://t.co/9CDWInxhOQ"
19,2022-10-28 09:07:42+00:00,"@Torp1d Fr, itna quality pace attack hai bhai theek se rotate nhi krta while defending"
20,2022-10-28 06:14:02+00:00,"Terrorist attack holy shrine of imamع raza son "" shah chargah "" in iran .💔 
#Iran #iranattack https://t.co/IJvPiEUotO"
21,2022-10-27 18:04:06+00:00,@SajSadiqCricket Attack kre kaise aisi pitch pe batting krni nahi aati Pakistani batsmen ko.
22,2022-10-27 13:42:39+00:00,"Today's Pakistan bowling attack is the best for any team in the the tournament, but it makes their batting line up a little weaker.. #T20WorldCup"
23,2022-10-27 11:09:02+00:00,@WELLDRIVED Best bowling attack🤣🤣
24,2022-10-27 11:07:43+00:00,Best Pace attack lmfao 💀
25,2022-10-27 07:35:44+00:00,"@CricSubhayan @RevSportz Bhai attack krega to run aayenge 
Atleast be proactive like suryav"
26,2022-10-26 17:45:37+00:00,"Golden Retriever mast kutta hai. 
Kabhi kisi par attack karte bi nahi dekha aajtak..!! 

Cute bi &amp; shareef bi..!!"
27,2022-10-26 16:25:16+00:00,"Iranian state-run media says gunmen kill 15 in attack on major Shiite holy site in southern city of Shiraz, reports AP

Courtesy : Press Trust of India"
28,2022-10-26 12:31:55+00:00,"@GemsOfBollywood 26/11 2008 me hua tha aur movie ka incident 2007 ka hai, baaki Pakistan ne 2007 me to announce nahi kiya tha ke vo next year attack karne vale hai"
29,2022-10-26 09:11:40+00:00,@CricketopiaCom Jo uss time ka bowling attack tha har desh ka who Sachin ko aur mahan bana deta hai .. truly legend of the game
30,2022-10-26 08:16:52+00:00,"@RajCMO 6 days passed still no strong action bcoz accused is EX-IAS OFFICER.he is arrested by police like photo session is going on with a celebrity or CM.his goons point a gun on 4 yr kid head before shooting his grandmother nd dangerous attack on every family member.
see photos https://t.co/lZomaxNDC6"
31,2022-10-26 07:30:43+00:00,"@SANTOKHSINGHSA6 Uncle, kini bar ‘Randi Rona’ panna aye hunn. Loudspeaker lay kay sadkaa tay announcement karna shuru kar do ‘Tiny Dhillon nay mainu block karta’. Vaikhna kithay ‘Heart attack’ na aa jay🤓😜😂😂"
32,2022-10-25 03:03:01+00:00,"Warning signs of heart attack in women: You must know
#heartattack #heartattackinwomen #signsofheartattack #heartdisease #symptomsofheartattack #hearthealth #heartattacksymptoms #DrAshwaniKumar #HealthTwentyFour
 https://t.co/esBlajH7Wb"
33,2022-10-25 03:02:31+00:00,"Warning signs of heart attack in women: You must know
#heartattack #heartattackinwomen #signsofheartattack #heartdisease #symptomsofheartattack #hearthealth #heartattacksymptoms #DrAshwaniKumar #HealthTwentyFour
 https://t.co/akozilSABS"
34,2022-10-24 13:22:46+00:00,"@_FaridKhan Pakistan batting will decide the fate 
South Africa have a good attack i think second best after Pakistan"
